"time in ms","power in W"
"1163","+5.17856461E-05"
"1283","+5.17635272E-05"
"1403","+5.17415428E-05"
"1533","+5.17666231E-05"
"1663","+5.17699555E-05"
"1793","+5.17680164E-05"
"1923","+5.17709486E-05"
"2154","+5.17956069E-05"
"2293","+5.18027118E-05"
"2423","+5.17232766E-05"
"2553","+5.17695371E-05"
"2687","+5.17605258E-05"
"2814","+5.17474546E-05"
"2943","+5.17717490E-05"
"3173","+5.17299814E-05"
"3303","+5.17462395E-05"
"3433","+5.17853259E-05"
"3563","+5.18092020E-05"
"3693","+5.18178895E-05"
"3823","+5.18369088E-05"
"3953","+5.17778426E-05"
"4183","+5.18038541E-05"
"4313","+5.18114502E-05"
"4443","+5.18282359E-05"
"4573","+5.17670851E-05"
"4706","+5.17735134E-05"
"4833","+5.17410626E-05"
"4963","+5.17775843E-05"
"5193","+5.17492808E-05"
"5333","+5.17730405E-05"
"5463","+5.17574445E-05"
"5593","+5.18211309E-05"
"5723","+5.18530578E-05"
"5853","+5.18495181E-05"
"5983","+5.17701410E-05"
"6213","+5.18374509E-05"
"6353","+5.17678891E-05"
"6483","+5.17630106E-05"
"6615","+5.17722037E-05"
"6743","+5.17713379E-05"
"6874","+5.17799381E-05"
"7003","+5.17813060E-05"
"7133","+5.18399575E-05"
"7263","+5.18061497E-05"
"7393","+5.17926637E-05"
"7533","+5.17901753E-05"
"7663","+5.17939770E-05"
"7793","+5.17964836E-05"
"7933","+5.18099732E-05"
"8163","+5.18045053E-05"
"8293","+5.18393499E-05"
"8426","+5.18027809E-05"
"8553","+5.17996777E-05"
"8683","+5.18062843E-05"
"8823","+5.18136185E-05"
"8953","+5.18170309E-05"
"9183","+5.18178385E-05"
"9323","+5.18333109E-05"
"9453","+5.18479428E-05"
"9583","+5.18269771E-05"
"9713","+5.18368106E-05"
"9853","+5.18106826E-05"
"9983","+5.18465495E-05"
"10133","+5.18429442E-05"
"10244","+5.18493835E-05"
"10383","+5.17944936E-05"
"10513","+5.17864755E-05"
"10645","+5.18362067E-05"
"10783","+5.18422530E-05"
"10913","+5.18391244E-05"
"11053","+5.17899025E-05"
"11183","+5.17884291E-05"
"11313","+5.17938679E-05"
"11443","+5.18462912E-05"
"11573","+5.18357920E-05"
"11703","+5.18109300E-05"
"11843","+5.17992958E-05"
"11975","+5.17988192E-05"
"12203","+5.17776716E-05"
"12333","+5.18130073E-05"
"12463","+5.18274755E-05"
"12593","+5.18020133E-05"
"12723","+5.18280394E-05"
"12853","+5.18198758E-05"
"12983","+5.18192755E-05"
"13213","+5.18044908E-05"
"13353","+5.18202978E-05"
"13483","+5.18285779E-05"
"13613","+5.18073612E-05"
"13753","+5.18162051E-05"
"13883","+5.18193119E-05"
"14014","+5.18119414E-05"
"14253","+5.18105044E-05"
"14383","+5.18098313E-05"
"14513","+5.18042652E-05"
"14653","+5.17962981E-05"
"14783","+5.17918379E-05"
"14913","+5.17744593E-05"
"15043","+5.18148227E-05"
"15174","+5.18112574E-05"
"15303","+5.18033339E-05"
"15443","+5.17915832E-05"
"15573","+5.17839035E-05"
"15703","+5.17958761E-05"
"15847","+5.17963017E-05"
"15973","+5.17814988E-05"
"16213","+5.17913722E-05"
"16343","+5.18124471E-05"
"16474","+5.18161214E-05"
"16613","+5.18001689E-05"
"16743","+5.17909757E-05"
"16874","+5.18038796E-05"
"17013","+5.18133820E-05"
"17243","+5.17916087E-05"
"17373","+5.18027482E-05"
"17506","+5.17928274E-05"
"17643","+5.18319066E-05"
"17773","+5.18153138E-05"
"17913","+5.17743756E-05"
"18043","+5.17919034E-05"
"18173","+5.18375418E-05"
"18303","+5.18250235E-05"
"18436","+5.18255765E-05"
"18573","+5.18166271E-05"
"18703","+5.18090346E-05"
"18835","+5.17998269E-05"
"18973","+5.18128509E-05"
"19203","+5.17921180E-05"
"19334","+5.17923690E-05"
"19473","+5.18321613E-05"
"19606","+5.18445231E-05"
"19743","+5.18234556E-05"
"19883","+5.17868793E-05"
"20013","+5.17787194E-05"
"20253","+5.18056622E-05"
"20383","+5.17857516E-05"
"20513","+5.18052584E-05"
"20653","+5.18304769E-05"
"20783","+5.18144589E-05"
"20913","+5.18081833E-05"
"21045","+5.17949302E-05"
"21183","+5.18088054E-05"
"21313","+5.18168090E-05"
"21443","+5.18652414E-05"
"21586","+5.17888802E-05"
"21713","+5.17974622E-05"
"21843","+5.18107372E-05"
"21977","+5.18081797E-05"
"22213","+5.18038432E-05"
"22343","+5.18023407E-05"
"22476","+5.18231063E-05"
"22613","+5.18086163E-05"
"22745","+5.18007510E-05"
"22883","+5.18180132E-05"
"23014","+5.18188754E-05"
"23253","+5.17994449E-05"
"23383","+5.18434863E-05"
"23513","+5.18371817E-05"
"23646","+5.18419147E-05"
"23783","+5.18283159E-05"
"23914","+5.18169691E-05"
"24053","+5.18254783E-05"
"24183","+5.18251727E-05"
"24313","+5.18434899E-05"
"24443","+5.18320703E-05"
"24583","+5.18236775E-05"
"24713","+5.17976296E-05"
"24843","+5.17786139E-05"
"24983","+5.18328889E-05"
"25213","+5.18221932E-05"
"25347","+5.17958288E-05"
"25483","+5.18340530E-05"
"25627","+5.18425259E-05"
"25754","+5.18376255E-05"
"25893","+5.18106426E-05"
"26023","+5.17942681E-05"
"26256","+5.18240595E-05"
"26393","+5.18497873E-05"
"26524","+5.18558918E-05"
"26663","+5.18351262E-05"
"26793","+5.18000707E-05"
"26928","+5.17974186E-05"
"27063","+5.18424713E-05"
"27195","+5.18409142E-05"
"27333","+5.18370689E-05"
"27465","+5.18322668E-05"
"27598","+5.18198358E-05"
"27733","+5.18263842E-05"
"27863","+5.18213819E-05"
"27997","+5.18590168E-05"
"28233","+5.18718334E-05"
"28368","+5.18486995E-05"
"28505","+5.18282723E-05"
"28643","+5.18318884E-05"
"28773","+5.18443376E-05"
"28913","+5.18414417E-05"
"29043","+5.18316265E-05"
"29176","+5.18082343E-05"
"29313","+5.18402630E-05"
"29445","+5.18337874E-05"
