"time in ms","power in W"
"242","+7.18409069E-07"
"375","+7.45528553E-07"
"504","+7.45057662E-07"
"634","+7.48305524E-07"
"774","+7.49186256E-07"
"932","+7.64511071E-07"
"1154","+7.28994337E-07"
"1291","+7.33488548E-07"
"1434","+7.41664110E-07"
"1564","+7.24636323E-07"
"1704","+7.40799067E-07"
"1839","+7.26322412E-07"
"1984","+7.52766368E-07"
"2127","+7.37427058E-07"
"2258","+7.32062460E-07"
"2395","+7.22073366E-07"
"2533","+7.30158717E-07"
"2673","+7.34665321E-07"
"2806","+7.17124294E-07"
"2943","+7.21967240E-07"
"3183","+7.41951283E-07"
"3330","+7.53349582E-07"
"3456","+7.47903641E-07"
"3595","+7.66017138E-07"
"3736","+7.44331885E-07"
"3877","+7.23573748E-07"
"4017","+7.38333995E-07"
"4163","+7.22246114E-07"
"4296","+7.45512750E-07"
"4435","+7.35414062E-07"
"4576","+7.62528714E-07"
"4717","+7.38682047E-07"
"4858","+7.41146607E-07"
"4994","+7.44517934E-07"
"5133","+7.52749827E-07"
"5283","+7.44109911E-07"
"5424","+7.29546912E-07"
"5562","+7.19884213E-07"
"5697","+7.58776139E-07"
"5836","+7.33921638E-07"
"5986","+7.30547868E-07"
"6226","+7.29108706E-07"
"6363","+7.18084152E-07"
"6504","+7.36297523E-07"
"6644","+7.17697048E-07"
"6783","+7.15424505E-07"
"6924","+7.37738162E-07"
"7066","+7.54881398E-07"
"7196","+7.33667207E-07"
"7336","+7.23154812E-07"
"7479","+7.28306816E-07"
"7631","+7.54512314E-07"
"7773","+7.42824739E-07"
"7914","+7.54510893E-07"
"8054","+7.37911193E-07"
"8220","+7.40017015E-07"
"8329","+7.51031848E-07"
"8470","+7.55165217E-07"
"8613","+7.18816807E-07"
"8753","+7.15564113E-07"
"8894","+7.67705217E-07"
"9037","+7.31052751E-07"
"9290","+7.54638222E-07"
"9434","+7.32210083E-07"
"9574","+7.27374470E-07"
"9717","+7.58373119E-07"
"9860","+7.32822514E-07"
"9994","+7.29828344E-07"
"10236","+7.20232663E-07"
"10378","+7.15598446E-07"
"10526","+7.22997470E-07"
"10663","+7.26789267E-07"
"10804","+7.46006265E-07"
"10936","+7.19734430E-07"
"11076","+7.49656465E-07"
"11214","+7.23058974E-07"
"11353","+7.22425739E-07"
"11494","+7.24760866E-07"
"11629","+7.28640316E-07"
"11774","+7.42146995E-07"
"11914","+7.12887356E-07"
"12054","+7.19792126E-07"
"12197","+7.54129474E-07"
"12337","+7.36742493E-07"
"12480","+7.14787802E-07"
"12626","+7.28647706E-07"
"12764","+7.36667744E-07"
"12903","+7.38915730E-07"
"13035","+7.30663885E-07"
"13280","+7.15638407E-07"
"13427","+7.54051428E-07"
"13563","+7.30357385E-07"
"13697","+7.29162025E-07"
"13832","+7.38675908E-07"
"13973","+7.37938251E-07"
"14113","+7.31086629E-07"
"14260","+7.31752152E-07"
"14403","+7.05478669E-07"
"14542","+7.37857476E-07"
"14680","+7.29556348E-07"
"14824","+7.14861187E-07"
"14964","+7.41209817E-07"
"15133","+7.40886662E-07"
"15253","+7.46960779E-07"
"15377","+7.33415220E-07"
"15521","+7.43230487E-07"
"15664","+7.35126036E-07"
"15803","+7.51475625E-07"
"15946","+7.50616493E-07"
"16084","+7.15238741E-07"
