"time in ms","power in dBm"
"1289","-4.27683640E+00"
"1423","-4.27322769E+00"
"1572","-4.27433014E+00"
"1716","-4.27639008E+00"
"1863","-4.27381516E+00"
"2014","-4.27655411E+00"
"2164","-4.27549744E+00"
"2321","-4.27527237E+00"
"2470","-4.27617645E+00"
"2620","-4.27180862E+00"
"2771","-4.27682114E+00"
"2925","-4.27376556E+00"
"3179","-4.27343750E+00"
"3331","-4.27248383E+00"
"3484","-4.27323532E+00"
"3634","-4.27548981E+00"
"3789","-4.27555847E+00"
"3953","-4.27516556E+00"
"4209","-4.27238464E+00"
"4360","-4.27582932E+00"
"4518","-4.27487564E+00"
"4678","-4.27422714E+00"
"4832","-4.27182007E+00"
"4983","-4.27464676E+00"
"5246","-4.27645874E+00"
"5403","-4.27198410E+00"
"5556","-4.27378082E+00"
"5706","-4.27532196E+00"
"5858","-4.27534485E+00"
"6013","-4.27423477E+00"
"6201","-4.27621078E+00"
"6381","-4.27362442E+00"
"6534","-4.27441025E+00"
"6687","-4.27730560E+00"
"6843","-4.27688217E+00"
"6986","-4.27668381E+00"
"7248","-4.27639771E+00"
"7401","-4.27444839E+00"
"7567","-4.27565765E+00"
"7723","-4.27502060E+00"
"7879","-4.27257156E+00"
"8039","-4.27316666E+00"
"8198","-4.27664185E+00"
"8354","-4.27397537E+00"
"8511","-4.27613449E+00"
"8674","-4.27425003E+00"
"8830","-4.27479172E+00"
"8981","-4.27450943E+00"
"9242","-4.27500534E+00"
"9398","-4.27444077E+00"
"9558","-4.27195358E+00"
"9732","-4.27366638E+00"
"9885","-4.27428818E+00"
"10040","-4.27509689E+00"
"10224","-4.27473450E+00"
"10400","-4.27382278E+00"
"10586","-4.27196503E+00"
"10786","-4.27231216E+00"
"10987","-4.27205276E+00"
"11141","-4.27301788E+00"
"11293","-4.27350998E+00"
"11460","-4.27162933E+00"
"11651","-4.27537918E+00"
"11857","-4.27450180E+00"
"12025","-4.27187347E+00"
"12180","-4.27339554E+00"
"12332","-4.27455139E+00"
"12487","-4.27284622E+00"
"12646","-4.27352905E+00"
"12800","-4.27385712E+00"
"12959","-4.27531433E+00"
"13126","-4.27440643E+00"
"13382","-4.27480698E+00"
"13538","-4.27435684E+00"
"13690","-4.27322769E+00"
"13850","-4.27408600E+00"
"14001","-4.27331543E+00"
"14153","-4.27313995E+00"
"14408","-4.27361298E+00"
"14564","-4.27635956E+00"
"14716","-4.27396393E+00"
"14872","-4.27302170E+00"
"15025","-4.27327728E+00"
"15181","-4.27379608E+00"
"15334","-4.27502441E+00"
"15486","-4.27311325E+00"
"15650","-4.27275467E+00"
"15802","-4.27078247E+00"
"15956","-4.27410126E+00"
"16108","-4.27640533E+00"
"16360","-4.27470398E+00"
"16510","-4.27518082E+00"
"16664","-4.27498245E+00"
"16822","-4.27259064E+00"
"16974","-4.27314758E+00"
"17125","-4.27584457E+00"
"17379","-4.27644730E+00"
"17537","-4.27418900E+00"
"17693","-4.27272034E+00"
"17846","-4.27525330E+00"
"17995","-4.27357864E+00"
"18148","-4.27376175E+00"
"18402","-4.27456665E+00"
"18558","-4.27408981E+00"
"18712","-4.27612305E+00"
"18871","-4.27205276E+00"
"19034","-4.27277756E+00"
"19191","-4.27262115E+00"
"19346","-4.27581787E+00"
"19502","-4.27408981E+00"
"19660","-4.27597046E+00"
"19820","-4.27450943E+00"
"19975","-4.27317047E+00"
"20120","-4.27565002E+00"
"20387","-4.27331161E+00"
"20539","-4.27346802E+00"
"20698","-4.27207565E+00"
"20851","-4.27465820E+00"
"21009","-4.27529526E+00"
"21164","-4.27709961E+00"
"21417","-4.27170944E+00"
"21577","-4.27483368E+00"
"21733","-4.27638245E+00"
"21883","-4.27537918E+00"
"22035","-4.27447510E+00"
"22192","-4.27433395E+00"
"22345","-4.27510071E+00"
"22504","-4.27582550E+00"
"22658","-4.27620697E+00"
"22816","-4.27442932E+00"
"22968","-4.27205658E+00"
"23118","-4.27482224E+00"
"23370","-4.27579498E+00"
"23525","-4.27379227E+00"
"23679","-4.27716446E+00"
"23831","-4.27647400E+00"
"23989","-4.27636719E+00"
"24141","-4.27356339E+00"
"24398","-4.27472687E+00"
"24552","-4.27583313E+00"
"24704","-4.27552795E+00"
"24857","-4.27474594E+00"
"25007","-4.27547836E+00"
"25166","-4.27520370E+00"
"25425","-4.27322388E+00"
"25585","-4.27601242E+00"
"25741","-4.27334595E+00"
"25890","-4.27225113E+00"
"26041","-4.27301788E+00"
"26191","-4.27280045E+00"
"26353","-4.27426910E+00"
"26505","-4.27399445E+00"
"26664","-4.27281189E+00"
"26820","-4.27580261E+00"
"26969","-4.27384186E+00"
"27124","-4.27347946E+00"
"27375","-4.27661514E+00"
"27531","-4.27663040E+00"
"27685","-4.27557373E+00"
"27842","-4.27137375E+00"
"27998","-4.27445602E+00"
"28156","-4.27583313E+00"
"28413","-4.27464294E+00"
"28568","-4.27320862E+00"
"28725","-4.27370453E+00"
"28884","-4.27483749E+00"
"29036","-4.27459717E+00"
"29195","-4.27270508E+00"
"29368","-4.27463531E+00"
"29521","-4.27455521E+00"
"29675","-4.27362061E+00"
"29837","-4.27484512E+00"
"29997","-4.27093124E+00"
"30157","-4.27386475E+00"
"30419","-4.27334213E+00"
"30576","-4.27408600E+00"
"30733","-4.27557755E+00"
"30883","-4.27536011E+00"
"31042","-4.27172852E+00"
"31198","-4.27233124E+00"
"31359","-4.27344131E+00"
"31520","-4.27219391E+00"
"31675","-4.27390671E+00"
"31837","-4.27228546E+00"
"31996","-4.27119827E+00"
"32153","-4.27346802E+00"
"32409","-4.27270889E+00"
"32572","-4.27188873E+00"
"32731","-4.27499008E+00"
"32883","-4.27399063E+00"
"33047","-4.27447891E+00"
"33200","-4.27522659E+00"
"33458","-4.27408600E+00"
"33615","-4.27213287E+00"
"33774","-4.27443314E+00"
"33937","-4.27442169E+00"
"34097","-4.27186584E+00"
"34253","-4.27374649E+00"
"34408","-4.27119446E+00"
"34568","-4.27208328E+00"
"34724","-4.27516937E+00"
"34877","-4.27440643E+00"
"35036","-4.27413559E+00"
"35197","-4.27278519E+00"
"35459","-4.27544022E+00"
"35616","-4.27091980E+00"
"35770","-4.27262878E+00"
"35942","-4.27510452E+00"
"36105","-4.27514648E+00"
"36265","-4.27315903E+00"
"36430","-4.27519989E+00"
"36587","-4.27309799E+00"
"36746","-4.27161407E+00"
"36898","-4.27040863E+00"
"37073","-4.27529526E+00"
"37241","-4.27493286E+00"
"37406","-4.27133942E+00"
"37566","-4.27223587E+00"
"37726","-4.27546692E+00"
"37885","-4.27153015E+00"
"38051","-4.27114487E+00"
"38209","-4.27120209E+00"
"38811","-4.27099991E+00"
"39756","-4.27289581E+00"
"40820","-4.27151108E+00"
"42777","-4.27247620E+00"
"44773","-4.27126694E+00"
"46795","-4.27096176E+00"
"48791","-4.27321625E+00"
"50784","-4.27153015E+00"
"52778","-4.27059174E+00"
"54792","-4.27244949E+00"
"56795","-4.27387238E+00"
"58802","-4.27218628E+00"
"60778","-4.27277756E+00"
"69787","-4.27156830E+00"
"82374","-4.27523041E+00"
"94822","-4.27077866E+00"
"119796","-4.27551270E+00"
"143075","-4.27500916E+00"
"143266","-4.27606964E+00"
"143432","-4.27121735E+00"
"143588","-4.27434921E+00"
"143748","-4.27330780E+00"
"144005","-4.27566528E+00"
"144163","-4.27630615E+00"
"144320","-4.27172470E+00"
"144480","-4.27321625E+00"
"144638","-4.27589035E+00"
"144793","-4.27159882E+00"
"144945","-4.27296829E+00"
"145105","-4.27275467E+00"
"145263","-4.27647400E+00"
"145417","-4.27567673E+00"
"145575","-4.27176285E+00"
"145731","-4.27476883E+00"
"145992","-4.27635956E+00"
"146151","-4.27138519E+00"
"146309","-4.27369308E+00"
"146466","-4.27513885E+00"
"146623","-4.27194977E+00"
"146778","-4.27117920E+00"
"147043","-4.27555847E+00"
"147203","-4.27142334E+00"
"147359","-4.27236176E+00"
"147519","-4.27631378E+00"
"147675","-4.27431870E+00"
"147834","-4.27420807E+00"
"147996","-4.27478790E+00"
"148155","-4.27380371E+00"
"148315","-4.27442169E+00"
"148475","-4.27125549E+00"
"148637","-4.27383804E+00"
"148794","-4.27351379E+00"
"149055","-4.27110672E+00"
"149212","-4.27498627E+00"
"149371","-4.27421570E+00"
"149526","-4.27236557E+00"
"149687","-4.27278519E+00"
"149844","-4.27397537E+00"
"150005","-4.27126694E+00"
"150162","-4.27389908E+00"
"150323","-4.27256012E+00"
"150484","-4.27140045E+00"
"150644","-4.27380371E+00"
"150799","-4.27038956E+00"
"151067","-4.27357483E+00"
"151226","-4.27224350E+00"
"151385","-4.27267075E+00"
"151543","-4.27484894E+00"
"151701","-4.27441788E+00"
"151864","-4.27151871E+00"
"152023","-4.27192688E+00"
"152188","-4.27011490E+00"
"152353","-4.27386856E+00"
"152516","-4.27295685E+00"
"152675","-4.27144241E+00"
"152833","-4.26950073E+00"
"152999","-4.27085495E+00"
"153156","-4.27030182E+00"
"153319","-4.27128601E+00"
"153481","-4.27006912E+00"
"153642","-4.27042389E+00"
"153802","-4.27364349E+00"
"154061","-4.27048111E+00"
"154223","-4.27064133E+00"
"154384","-4.26942062E+00"
"154546","-4.27206421E+00"
"154708","-4.27002716E+00"
"154873","-4.26986313E+00"
"155038","-4.27047348E+00"
"155199","-4.27230072E+00"
"155359","-4.26831436E+00"
"155525","-4.26982117E+00"
"155692","-4.26914215E+00"
"155850","-4.27220535E+00"
"156009","-4.26930618E+00"
"156167","-4.26975250E+00"
"156331","-4.27238846E+00"
"156493","-4.27046585E+00"
"156654","-4.27160645E+00"
"156814","-4.26811600E+00"
"157078","-4.27122116E+00"
"157242","-4.26979065E+00"
"157410","-4.27185822E+00"
"157574","-4.26761627E+00"
"157737","-4.27116013E+00"
"157897","-4.27118683E+00"
"158059","-4.27056885E+00"
"158220","-4.26963806E+00"
"158385","-4.27191162E+00"
