"time in ms","power in dBm"
"1228","-4.39417267E+00"
"1400","-4.39335251E+00"
"1587","-4.39410019E+00"
"1788","-4.39355087E+00"
"1979","-4.39412689E+00"
"2170","-4.39173126E+00"
"2354","-4.39196014E+00"
"2532","-4.39403534E+00"
"2713","-4.38996124E+00"
"2898","-4.39280319E+00"
"3083","-4.39001846E+00"
"3367","-4.38871384E+00"
"3550","-4.39201736E+00"
"3737","-4.39352417E+00"
"3918","-4.38989639E+00"
"4113","-4.39225769E+00"
"4394","-4.39007568E+00"
"4580","-4.39276123E+00"
"4765","-4.39194489E+00"
"4955","-4.38892746E+00"
"5144","-4.39351273E+00"
"5428","-4.39418793E+00"
"5616","-4.39331818E+00"
"5803","-4.39091492E+00"
"5982","-4.39593887E+00"
"6169","-4.39020920E+00"
"6357","-4.39095688E+00"
"6533","-4.39440155E+00"
"6719","-4.38925934E+00"
"6902","-4.39284134E+00"
"7082","-4.39524078E+00"
"7272","-4.39151382E+00"
"7460","-4.39440155E+00"
"7640","-4.39101028E+00"
"7840","-4.39231873E+00"
"8021","-4.39439392E+00"
"8213","-4.39446640E+00"
"8496","-4.39326859E+00"
"8679","-4.39339066E+00"
"8867","-4.39540863E+00"
"9052","-4.38904190E+00"
"9245","-4.39489365E+00"
"9532","-4.39367294E+00"
"9720","-4.39038849E+00"
"9907","-4.39444351E+00"
"10108","-4.39240265E+00"
"10304","-4.39310074E+00"
"10492","-4.39274597E+00"
"10676","-4.39292908E+00"
"10869","-4.39307785E+00"
"11065","-4.39245605E+00"
"11258","-4.39033890E+00"
"11535","-4.39319229E+00"
"11720","-4.39023209E+00"
"11904","-4.39200974E+00"
"12092","-4.38981247E+00"
"12267","-4.39492798E+00"
"12545","-4.39138794E+00"
"12732","-4.39043045E+00"
"12915","-4.38746262E+00"
"13096","-4.39151382E+00"
"13283","-4.39456558E+00"
"13565","-4.38885880E+00"
"13752","-4.39085007E+00"
"13935","-4.38754654E+00"
"14119","-4.38878250E+00"
"14300","-4.39183426E+00"
"14487","-4.38971329E+00"
"14666","-4.38796997E+00"
"14849","-4.39163589E+00"
"15034","-4.38664246E+00"
"15221","-4.38618851E+00"
"15412","-4.39062500E+00"
"15602","-4.38932037E+00"
"15804","-4.38813019E+00"
"15992","-4.38927460E+00"
"16191","-4.39113998E+00"
"16381","-4.39303589E+00"
"16667","-4.38489151E+00"
"16862","-4.38787079E+00"
"17051","-4.38959503E+00"
"17248","-4.38443756E+00"
"17433","-4.38706207E+00"
"17623","-4.38541031E+00"
"17815","-4.38605881E+00"
"18002","-4.38841248E+00"
"18204","-4.38356018E+00"
"18397","-4.38199997E+00"
"18590","-4.38199997E+00"
"18782","-4.38422012E+00"
"18975","-4.38703156E+00"
"19173","-4.38702774E+00"
"19360","-4.38601303E+00"
"19676","-4.38314819E+00"
"19863","-4.38276672E+00"
"20055","-4.38819504E+00"
"20258","-4.38365555E+00"
"20454","-4.38346481E+00"
"20638","-4.38481903E+00"
"20830","-4.38548660E+00"
"21018","-4.38314438E+00"
"21202","-4.38406372E+00"
"21388","-4.38343048E+00"
"21668","-4.38740921E+00"
"21854","-4.38055420E+00"
"22042","-4.38304138E+00"
"22228","-4.38143158E+00"
"22412","-4.38005447E+00"
"22695","-4.38540649E+00"
"22880","-4.38414764E+00"
"23062","-4.38656235E+00"
"23243","-4.38790512E+00"
"23430","-4.38350296E+00"
"23713","-4.38531113E+00"
"23899","-4.38759613E+00"
"24082","-4.38412476E+00"
"24275","-4.38230133E+00"
"24459","-4.38042831E+00"
"24648","-4.37955093E+00"
"24831","-4.38506699E+00"
"25015","-4.38439560E+00"
"25199","-4.38152313E+00"
"25394","-4.38311386E+00"
"25677","-4.38051605E+00"
"25863","-4.38328934E+00"
"26046","-4.38415146E+00"
"26236","-4.38244629E+00"
"26433","-4.38513947E+00"
"26720","-4.38595963E+00"
"26910","-4.37766266E+00"
"27107","-4.38206482E+00"
"27293","-4.38154984E+00"
"27482","-4.38203812E+00"
"27772","-4.38789749E+00"
"27984","-4.38193893E+00"
"28176","-4.38721848E+00"
"28388","-4.38088608E+00"
"28571","-4.38445282E+00"
"28784","-4.37841415E+00"
"28992","-4.38259125E+00"
"29173","-4.37972641E+00"
"29365","-4.37918472E+00"
"29571","-4.38451004E+00"
"29756","-4.38298035E+00"
"29936","-4.38595200E+00"
"30136","-4.38397980E+00"
"30323","-4.38428497E+00"
"30588","-4.38155746E+00"
"30899","-4.38716888E+00"
"31093","-4.38308334E+00"
"31293","-4.38038254E+00"
"31502","-4.38329697E+00"
"31796","-4.38659286E+00"
"31994","-4.38253784E+00"
"32185","-4.38439560E+00"
"32375","-4.38583755E+00"
"32566","-4.38592911E+00"
"32763","-4.38215637E+00"
"32952","-4.38331604E+00"
"33160","-4.38522720E+00"
"33351","-4.38310242E+00"
"33549","-4.38574982E+00"
"33845","-4.38350296E+00"
"34059","-4.38471603E+00"
"34253","-4.38495255E+00"
"34454","-4.38598251E+00"
"34654","-4.38574600E+00"
"34844","-4.38579941E+00"
"35038","-4.38330841E+00"
"35231","-4.38516998E+00"
"35432","-4.38569641E+00"
"35628","-4.38295746E+00"
"35924","-4.38850403E+00"
"36119","-4.38747406E+00"
"36313","-4.39057541E+00"
"36512","-4.38782883E+00"
"36710","-4.38240814E+00"
"36904","-4.38598633E+00"
"37104","-4.38869858E+00"
"37305","-4.38955688E+00"
"37497","-4.38879013E+00"
"37695","-4.38785553E+00"
"37896","-4.38489151E+00"
"38099","-4.38734436E+00"
"38294","-4.38802719E+00"
"38491","-4.38639450E+00"
"38686","-4.39035416E+00"
"38879","-4.39027405E+00"
"39073","-4.38737869E+00"
"39269","-4.38683701E+00"
"39464","-4.39080429E+00"
"39662","-4.38431549E+00"
"39963","-4.38653946E+00"
"40170","-4.38469696E+00"
"40370","-4.38782883E+00"
"40581","-4.38731766E+00"
"40780","-4.38443756E+00"
"40985","-4.38402176E+00"
"41191","-4.38396454E+00"
"41392","-4.38566971E+00"
"41593","-4.38815308E+00"
"41796","-4.38867188E+00"
"41994","-4.38488770E+00"
"42193","-4.38917923E+00"
"42393","-4.38578415E+00"
"42597","-4.38797379E+00"
"42791","-4.38661575E+00"
"42986","-4.38802719E+00"
"43196","-4.38526535E+00"
"43393","-4.38825989E+00"
"43593","-4.38734055E+00"
"43796","-4.38501358E+00"
"44102","-4.38786316E+00"
"44304","-4.38665390E+00"
"44503","-4.38886261E+00"
"44700","-4.38879013E+00"
"44912","-4.38689041E+00"
"45117","-4.38520050E+00"
"45326","-4.38276291E+00"
"45544","-4.38707352E+00"
"45756","-4.38505173E+00"
"45955","-4.38518143E+00"
"46260","-4.38248444E+00"
"46471","-4.38151550E+00"
"46678","-4.38266373E+00"
"46879","-4.38648987E+00"
"47191","-4.38214874E+00"
"47388","-4.38486481E+00"
"47590","-4.38367462E+00"
"47791","-4.38793182E+00"
"48002","-4.38961029E+00"
"48208","-4.38984680E+00"
"48408","-4.38373947E+00"
"48619","-4.38242340E+00"
"48828","-4.38592911E+00"
"49024","-4.38456726E+00"
"49236","-4.38537979E+00"
"49446","-4.38436508E+00"
"49653","-4.38662720E+00"
"49867","-4.38161850E+00"
"50077","-4.38656235E+00"
"50380","-4.38395691E+00"
"50586","-4.38496017E+00"
"50790","-4.38124084E+00"
"51000","-4.38699722E+00"
"51317","-4.38378906E+00"
"51515","-4.38621521E+00"
"51717","-4.38261414E+00"
"51925","-4.38650131E+00"
"52137","-4.38426971E+00"
"52341","-4.38518524E+00"
"52546","-4.38571930E+00"
"52749","-4.38645554E+00"
"52957","-4.39265823E+00"
"53164","-4.38657379E+00"
"53378","-4.38630295E+00"
"53585","-4.38761520E+00"
"53793","-4.38609314E+00"
"54009","-4.38995361E+00"
"54226","-4.38533783E+00"
"54426","-4.38203812E+00"
"54621","-4.38513947E+00"
"54820","-4.38499451E+00"
"55020","-4.38236618E+00"
"55223","-4.38553238E+00"
"55433","-4.38631439E+00"
"55624","-4.38251495E+00"
"55837","-4.38493729E+00"
"56046","-4.38666534E+00"
"56250","-4.38828278E+00"
"56466","-4.38723373E+00"
"56669","-4.39046478E+00"
"56870","-4.39085388E+00"
"57082","-4.38376236E+00"
"57296","-4.38580704E+00"
"57497","-4.38575363E+00"
"57705","-4.38591766E+00"
"57905","-4.38383102E+00"
"58117","-4.38283157E+00"
"58320","-4.38923264E+00"
"58531","-4.38565826E+00"
"58732","-4.38946152E+00"
"58946","-4.38832092E+00"
"59162","-4.39021301E+00"
"59378","-4.38814163E+00"
"59585","-4.38938904E+00"
"59783","-4.39073181E+00"
"59983","-4.39015579E+00"
"60185","-4.38827515E+00"
"60401","-4.38507080E+00"
"60606","-4.38404465E+00"
"60819","-4.38347244E+00"
"61033","-4.39228821E+00"
"61233","-4.38722992E+00"
"61431","-4.38738632E+00"
"61743","-4.39007568E+00"
"61957","-4.38774872E+00"
