"time in ms","power in dBm"
"262","+6.66680717E+00"
"387","+6.66689110E+00"
"534","+6.66687012E+00"
"684","+6.66693878E+00"
"842","+6.66692162E+00"
"994","+6.66689873E+00"
"1144","+6.66687202E+00"
"1296","+6.66694069E+00"
"1446","+6.66690063E+00"
"1599","+6.66689873E+00"
"1750","+6.66683769E+00"
"1906","+6.66683197E+00"
"2056","+6.66681671E+00"
"2203","+6.66685677E+00"
"2353","+6.66691589E+00"
"2501","+6.66697693E+00"
"2656","+6.66697311E+00"
"2809","+6.66696548E+00"
"2964","+6.66692734E+00"
"3215","+6.66691780E+00"
"3365","+6.66692734E+00"
"3518","+6.66701126E+00"
"3670","+6.66692162E+00"
"3818","+6.66692924E+00"
"3970","+6.66690636E+00"
"4227","+6.66697884E+00"
"4379","+6.66697311E+00"
"4530","+6.66706276E+00"
"4682","+6.66714478E+00"
"4834","+6.66720772E+00"
"4990","+6.66718674E+00"
"5246","+6.66718102E+00"
"5399","+6.66718674E+00"
"5548","+6.66720772E+00"
"5704","+6.66722679E+00"
"5857","+6.66718292E+00"
"5999","+6.66719627E+00"
"6253","+6.66715622E+00"
"6399","+6.66720009E+00"
"6554","+6.66718483E+00"
"6708","+6.66719627E+00"
"6862","+6.66724586E+00"
"7020","+6.66725540E+00"
"7171","+6.66723061E+00"
"7325","+6.66728210E+00"
"7480","+6.66726494E+00"
"7639","+6.66726494E+00"
"7792","+6.66724014E+00"
"7973","+6.66729546E+00"
"8231","+6.66734886E+00"
"8382","+6.66731834E+00"
"8539","+6.66732979E+00"
"8696","+6.66737175E+00"
"8852","+6.66733360E+00"
"9007","+6.66738319E+00"
"9263","+6.66735077E+00"
"9419","+6.66731453E+00"
"9578","+6.66739845E+00"
"9734","+6.66733551E+00"
"9883","+6.66732788E+00"
"10038","+6.66735649E+00"
"10292","+6.66740036E+00"
"10443","+6.66740227E+00"
"10592","+6.66735458E+00"
"10745","+6.66735458E+00"
"10898","+6.66736031E+00"
"11050","+6.66744804E+00"
"11195","+6.66741562E+00"
"11345","+6.66745377E+00"
"11498","+6.66739273E+00"
"11646","+6.66740990E+00"
"11803","+6.66739273E+00"
"11950","+6.66740990E+00"
"12099","+6.66739845E+00"
"12254","+6.66729927E+00"
"12407","+6.66735649E+00"
"12561","+6.66744614E+00"
"12709","+6.66744614E+00"
"12864","+6.66730499E+00"
"13015","+6.66737366E+00"
"13270","+6.66737175E+00"
"13426","+6.66741562E+00"
"13581","+6.66741562E+00"
"13733","+6.66745567E+00"
"13885","+6.66745758E+00"
"14040","+6.66741371E+00"
"14294","+6.66754150E+00"
"14446","+6.66744041E+00"
"14604","+6.66748428E+00"
"14756","+6.66747665E+00"
"14915","+6.66750717E+00"
"15065","+6.66749954E+00"
"15218","+6.66750336E+00"
"15364","+6.66746140E+00"
"15517","+6.66744995E+00"
"15671","+6.66745949E+00"
"15824","+6.66744423E+00"
"15981","+6.66750336E+00"
"16134","+6.66753387E+00"
"16286","+6.66750336E+00"
"16443","+6.66750908E+00"
"16598","+6.66753197E+00"
"16751","+6.66754532E+00"
"16911","+6.66749573E+00"
"17068","+6.66759872E+00"
"17325","+6.66755676E+00"
"17477","+6.66754723E+00"
"17632","+6.66754723E+00"
"17788","+6.66761971E+00"
"17945","+6.66754532E+00"
"18098","+6.66755295E+00"
"18353","+6.66753197E+00"
"18506","+6.66756248E+00"
"18656","+6.66748238E+00"
"18809","+6.66752052E+00"
"18978","+6.66758347E+00"
"19131","+6.66754723E+00"
"19386","+6.66761398E+00"
"19542","+6.66757202E+00"
"19693","+6.66755867E+00"
"19850","+6.66750908E+00"
"20003","+6.66754723E+00"
"20161","+6.66757774E+00"
"20313","+6.66755676E+00"
"20468","+6.66757202E+00"
"20621","+6.66753769E+00"
"20782","+6.66757393E+00"
"20936","+6.66755295E+00"
"21086","+6.66756630E+00"
"21343","+6.66764450E+00"
"21491","+6.66758156E+00"
"21648","+6.66756821E+00"
"21800","+6.66757202E+00"
"21958","+6.66755676E+00"
"22110","+6.66756630E+00"
"22361","+6.66760445E+00"
"22513","+6.66760063E+00"
"22671","+6.66765404E+00"
"22826","+6.66765594E+00"
"22981","+6.66761398E+00"
"23139","+6.66764069E+00"
"23396","+6.66768837E+00"
"23550","+6.66764259E+00"
"23707","+6.66763496E+00"
"23860","+6.66762733E+00"
"24008","+6.66767120E+00"
"24165","+6.66769600E+00"
"24318","+6.66768074E+00"
"24467","+6.66769600E+00"
"24625","+6.66772079E+00"
"24785","+6.66772270E+00"
"24939","+6.66769218E+00"
